Track	Url_img	Album	Speechiness	Acousticness	Liveness	Valence	Energy	Link
THE REASON WHY	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.0279	0.116	0.336	0.536	0.643	https://open.spotify.com/track/7whZfPOZM5Xcn9pY4NaAw0
THREE TIMES A DAY	https://i.scdn.co/image/ab67616d0000b273d07e49e3e5a8e79903713354	Signal	0.0679	0.213	0.11	0.755	0.728	https://open.spotify.com/track/0pDejq7YwJfZnZOGhqz8qU
TICK TOCK	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.073	0.11	0.303	0.607	0.789	https://open.spotify.com/track/05LG5cpzayKEtup58fdZjA
TOUCHDOWN	https://i.scdn.co/image/ab67616d0000b2739e9e3a1adcc32090690fd0b6	Page Two	0.0438	0.0454	0.335	0.682	0.837	https://open.spotify.com/track/33Y2SR1SLyfXD6lotmt0oP
TRICK IT	https://i.scdn.co/image/ab67616d0000b27349b81808fcdaeeb55bef59d1	Feel Special	0.0742	0.0867	0.135	0.659	0.896	https://open.spotify.com/track/10la9pZeeL51aEjzC02SkI
TROUBLE	https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340	Between 1&2	0.126	0.0528	0.0427	0.571	0.875	https://open.spotify.com/track/5L9eGmPwQnhIlJY1qDQ3OJ
TRUTH	https://i.scdn.co/image/ab67616d0000b273ce17f432c79c5e45ce88688f	The Story Begins	0.131	0.0358	0.223	0.547	0.731	https://open.spotify.com/track/1qN62P5nl5mQTEBQnoZPb2
TT	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.0891	0.0463	0.434	0.35	0.86	https://open.spotify.com/track/1dLmduuScyeYONBTKKu3VG
TUK TOK	https://i.scdn.co/image/ab67616d0000b2739e9e3a1adcc32090690fd0b6	Page Two	0.0894	0.0892	0.0912	0.546	0.86	https://open.spotify.com/track/4QjEhQSYq8BB48iHnvJMt3
TURN IT UP	https://i.scdn.co/image/ab67616d0000b273ff7c2dfd0ed9b2cf6bf9c818	Fancy You	0.0521	0.0625	0.14	0.961	0.812	https://open.spotify.com/track/6xafmaRsoHMtKWpH0pEWHX
TURTLE	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.135	0.523	0.16	0.623	0.808	https://open.spotify.com/track/00Cng9YenhxNXRyZTNcYZW
UP NO MORE	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.0585	0.0298	0.103	0.713	0.88	https://open.spotify.com/track/1LiNP5q2thWScdvCRkJ584
VOICES OF DELIGHT	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.118	0.148	0.0387	0.756	0.871	https://open.spotify.com/track/2Ij1NaPpsFSKJ0M65tSV4j
WAKE ME UP	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0807	0.209	0.318	0.795	0.994	https://open.spotify.com/track/6SvSuEsXDqQwHAPv5hX68G
WALLFLOWER	https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6	Ready To Be	0.0617	0.294	0.112	0.648	0.838	https://open.spotify.com/track/6EGkbPJrb88STcdfMu1j1y
WHAT IS LOVE	https://i.scdn.co/image/ab67616d0000b27340d7efd2594a2b6bda60ea18	Summer Nights	0.0658	0.0987	0.264	0.569	0.909	https://open.spotify.com/track/3zhbXKFjUDw40pTYyCgt1Y
WHAT YOU WAITING FOR	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.0735	0.024	0.302	0.695	0.91	https://open.spotify.com/track/358ve4TxxUYYJNJaq99iXK
WHEN WE WERE KIDS	https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340	Between 1&2	0.0813	0.34	0.109	0.537	0.659	https://open.spotify.com/track/7uAKsykguOnXZSh0WpOW5z
WISHING	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0458	0.16	0.0541	0.433	0.719	https://open.spotify.com/track/3uj2LisbXDqSnEXLY8KTyf
WONDERFUL DAY	https://i.scdn.co/image/ab67616d0000b27379e2f324a8a4a1ddd05520f1	Doughnut	0.0335	0.395	0.168	0.547	0.578	https://open.spotify.com/track/75wtNse2szKx7YT2WKhiTL
WOOHOO	https://i.scdn.co/image/ab67616d0000b2739e9e3a1adcc32090690fd0b6	Page Two	0.0652	0.041	0.176	0.737	0.884	https://open.spotify.com/track/0AXpGfYRyu7sTDaibgl4Qu
WOW	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.149	0.355	0.0547	0.922	0.914	https://open.spotify.com/track/19SVVy0W0AAWzTKZ9CQByS
YES OR YES	https://i.scdn.co/image/ab67616d0000b27306ed5d1d101e98e6a270b570	The Year Of ""Yes""	0.0375	0.0597	0.162	0.747	0.926	https://open.spotify.com/track/27EUkTy6RrDCCToOoRXiQB
YOU IN MY HEART	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0331	0.291	0.109	0.421	0.858	https://open.spotify.com/track/0GV45f8tB2rIesm3Z5KPPd
YOUNG & WILD	https://i.scdn.co/image/ab67616d0000b27306ed5d1d101e98e6a270b570	The Year Of ""Yes""	0.116	0.131	0.32	0.31	0.644	https://open.spotify.com/track/34Dg4dzoa8Drq7e3TrKgLP
