Track	Url_img	Album	Speechiness	Acousticness	Liveness	Valence	Energy	Link
I CAN'T STOP ME	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.102	0.121	0.463	0.769	0.88	https://open.spotify.com/track/37ZtpRBkHcaq6hHy0X98zn
I WANT YOU BACK	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0338	0.0148	0.0808	0.787	0.848	https://open.spotify.com/track/7tXmbiWxcQqvAeuqGD0lvV
ICE CREAM	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.0369	0.451	0.113	0.235	0.573	https://open.spotify.com/track/6cK31aSO00zE4pamzBzYGI
ICON	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.0484	0.0338	0.0756	0.816	0.809	https://open.spotify.com/track/2VdU1ksBKcETBr8BYRHUvB
IN THE SUMMER	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.144	0.0402	0.327	0.55	0.846	https://open.spotify.com/track/04LlwbQp31hLQ6meYbP19t
JALJAYO GOOD NIGHT	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0333	0.851	0.0961	0.361	0.392	https://open.spotify.com/track/4iICmJBumChipVrnly5hNZ
JELLY JELLY	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.0794	0.105	0.324	0.849	0.898	https://open.spotify.com/track/4WMS9IEu4HcQyEzUydplkS
JUST BE YOURSELF	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.0785	0.0472	0.407	0.346	0.762	https://open.spotify.com/track/6zTWUJYLhOFtJaTLCF5pyQ
KNOCK KNOCK	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.131	0.0243	0.0587	0.473	0.968	https://open.spotify.com/track/3HWOknOVmd44e1jg4g0Sga
KURA KURA	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.0986	0.166	0.0648	0.761	0.714	https://open.spotify.com/track/3sroak7dIqGRGmC6VQVDtg
L.O.V.E	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0715	0.053	0.109	0.871	0.858	https://open.spotify.com/track/0kUJjs80jyzdOenZV9soAb
LALALA	https://i.scdn.co/image/ab67616d0000b27306ed5d1d101e98e6a270b570	The Year Of ""Yes""	0.0779	0.312	0.177	0.807	0.874	https://open.spotify.com/track/21HMIFXorFoTGhy9sveXkY
LAST WALTZ	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.105	0.213	0.0892	0.61	0.772	https://open.spotify.com/track/39kH6C2twlYjyssIW02sbr
LIKE A FOOL	https://i.scdn.co/image/ab67616d0000b273ce17f432c79c5e45ce88688f	The Story Begins	0.127	0.0622	0.0975	0.472	0.806	https://open.spotify.com/track/7phEa67BIqrBSBwHrECeqr
LIKE OOH-AHH	https://i.scdn.co/image/ab67616d0000b273ce17f432c79c5e45ce88688f	The Story Begins	0.0783	0.241	0.382	0.692	0.875	https://open.spotify.com/track/3c0CJ0DBgsGZ7I79lyx02Z
LIKEY	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0332	0.437	0.117	0.428	0.904	https://open.spotify.com/track/7MXzQjonTIslNqRpm7ouIK
LOOK AT ME	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0386	0.165	0.0687	0.635	0.913	https://open.spotify.com/track/1cdWR6r36caIdPC6gPFh8X
LOVE FOOLISH	https://i.scdn.co/image/ab67616d0000b27349b81808fcdaeeb55bef59d1	Feel Special	0.0971	0.118	0.0576	0.577	0.84	https://open.spotify.com/track/1MdEg2lk4EakgWnCvFUGEZ
LOVE LINE	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0456	0.269	0.105	0.495	0.761	https://open.spotify.com/track/2EOvgLsjqu5lrZC9gQICgp
LUV ME	https://i.scdn.co/image/ab67616d0000b2736734e7730498eb0d63df66f5	One More Time	0.0426	0.0524	0.35	0.668	0.917	https://open.spotify.com/track/1X1BrTxo2C77VnyEkBJm21
MAKE ME GO	https://i.scdn.co/image/ab67616d0000b27324869424ae632466b839a8a8	More & More	0.0611	0.00539	0.0446	0.814	0.633	https://open.spotify.com/track/6caS9LrdquWAfGeAmjqt1t
MERRY & HAPPY	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0377	0.403	0.0817	0.666	0.63	https://open.spotify.com/track/59TGiILFEI1NYSFcxyFiUZ
MISSING U	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0482	0.22	0.112	0.849	0.71	https://open.spotify.com/track/3HuLZF0nBNoXqVghfTVjme
MOONLIGHT	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.071	0.0245	0.0535	0.961	0.704	https://open.spotify.com/track/14k4ALBLN2FjtELYDcQUoi
MOONLIGHT SUNRISE	https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6	Ready To Be	0.0563	0.401	0.0895	0.607	0.78	https://open.spotify.com/track/5IN9W6eUfk3014My9awagX
MORE & MORE	https://i.scdn.co/image/ab67616d0000b27324869424ae632466b839a8a8	More & More	0.06	0.0312	0.173	0.562	0.841	https://open.spotify.com/track/3omvXShuRPM3zbDpWYqf5g
MY HEADPHONES ON	https://i.scdn.co/image/ab67616d0000b2739e9e3a1adcc32090690fd0b6	Page Two	0.126	0.0524	0.107	0.195	0.649	https://open.spotify.com/track/3QdLfJBERr3K1jX328FagL
NEXT PAGE	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.0571	0.00871	0.623	0.662	0.805	https://open.spotify.com/track/3cwYBJwZCKkRlPsJZbLb9F
ONE IN A MILLION	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.033	0.149	0.199	0.45	0.732	https://open.spotify.com/track/2WWUozUXaj0XY8MKmFHvYp
ONE MORE TIME	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.0633	0.00288	0.319	0.671	0.928	https://open.spotify.com/track/1YZz55qh9SHZV8SxDgof4a
ONLY YOU	https://i.scdn.co/image/ab67616d0000b273d07e49e3e5a8e79903713354	Signal	0.034	0.225	0.369	0.674	0.945	https://open.spotify.com/track/4yBk3YSA3BxxLR2TseE8P0
OXYGEN	https://i.scdn.co/image/ab67616d0000b27324869424ae632466b839a8a8	More & More	0.0576	0.0564	0.273	0.501	0.87	https://open.spotify.com/track/128rj96Z6tTEU3h3awSMdB
PERFECT WORLD	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.0611	0.0477	0.344	0.599	0.877	https://open.spotify.com/track/0iuZMy88H6vxDA2oaJNhJg
PIECES OF LOVE	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.0384	0.236	0.34	0.727	0.767	https://open.spotify.com/track/4xBdYia1CdzUHjguICASZr
PINK LEMONADE	https://i.scdn.co/image/ab67616d0000b27357f1b1435b128f2771fb13b8	Wake Me Up	0.0781	0.0816	0.0564	0.734	0.969	https://open.spotify.com/track/53JPvPxpC5IU4gYVmDLqU6
PIT-A-PAT	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.168	0.125	0.291	0.582	0.889	https://open.spotify.com/track/2ecHLvstCWxgg8Ae0YBLNT
POLISH	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.206	0.114	0.0397	0.888	0.874	https://open.spotify.com/track/1ZppWCtHe9AED38H9ue3tn
PONYTAIL	https://i.scdn.co/image/ab67616d0000b273836dfeeabc0e33ace0227d47	Twicecoaster: Lane 2	0.055	0.164	0.79	0.815	0.952	https://open.spotify.com/track/5dOnE1JkTzRdV0zJ59owx0
PRECIOUS LOVE	https://i.scdn.co/image/ab67616d0000b2739e9e3a1adcc32090690fd0b6	Page Two	0.133	0.0387	0.0702	0.463	0.949	https://open.spotify.com/track/6vNuROBEjUNa18Tik5lNzF
PROMISE	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.03	0.818	0.116	0.317	0.42	https://open.spotify.com/track/3vA8ZdIqvRARF2pVKlnAWD
PUSH & PULL (JIHYO, SANA, DAHYUN)	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.156	0.389	0.0658	0.778	0.907	https://open.spotify.com/track/7kbOwsTp2Uqm1scjRPiVt4
QUEEN	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.258	0.139	0.107	0.423	0.837	https://open.spotify.com/track/2xVCwFrNYnllRX1g0drYVI
QUEEN OF HEARTS	https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340	Between 1&2	0.106	0.102	0.0702	0.815	0.847	https://open.spotify.com/track/3sOEVB8DirQtZc0qhw8lJc
RAINBOW	https://i.scdn.co/image/ab67616d0000b27349b81808fcdaeeb55bef59d1	Feel Special	0.129	0.0236	0.144	0.761	0.849	https://open.spotify.com/track/6uy9lTlZ3xaMYQPk6eaJaz
REAL YOU	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.12	0.0977	0.0453	0.886	0.831	https://open.spotify.com/track/3ax3sc1Rn99YbjyKT0HALS
REWIND	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.173	0.768	0.378	0.436	0.732	https://open.spotify.com/track/4BBnKqIS2pj2hX0zm0CZZx
ROLLIN'	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.044	0.0512	0.279	0.263	0.638	https://open.spotify.com/track/6eu6hIloglsAab8x7kF2bz
SANDCASTLE	https://i.scdn.co/image/ab67616d0000b27396f409e230a8f42400c901f1	Celebrate	0.0577	0.179	0.0522	0.883	0.803	https://open.spotify.com/track/1JxPnxcXUw3XOFHOhnootp
SAY IT AGAIN	https://i.scdn.co/image/ab67616d0000b273cc72cf8eb5fc820d2cb571d6	Bdz (Repackage)	0.137	0.279	0.0673	0.579	0.838	https://open.spotify.com/track/5TlXcQVAcGFQM4HWFjTy0F
